iter	RMSE
0	0.9988652171
1	0.9767156825
2	0.9535144477
3	0.9330937229
4	0.9116741016
5	0.8915575266
6	0.8732931126
7	0.8546778217
8	0.8362200618
9	0.8178769319
10	0.8008986683
11	0.7849590803
12	0.7710090059
13	0.7565657922
14	0.743817176
15	0.7313314525
16	0.7189645869
17	0.7066282468
18	0.6959429457
19	0.6849567961
20	0.6738374879
21	0.6639035397
22	0.6542168706
23	0.6452752097
24	0.6359464936
25	0.6279476864
26	0.6197476973
27	0.6127101845
28	0.6054187888
29	0.5983165334
30	0.5912731964
31	0.5846000475
32	0.5789139369
33	0.5735344662
34	0.5685403274
35	0.5638957479
36	0.5587182304
37	0.5539162519
38	0.5494032252
39	0.5449372163
40	0.540005131
41	0.5358341547
42	0.5326313959
43	0.5280289962
44	0.5241119523
45	0.5202062019
46	0.5167424802
47	0.5135215776
48	0.5101989124
49	0.5071811432
50	0.5040922372
51	0.501979745
52	0.4993907674
53	0.4967597987
54	0.49467179
55	0.4923132135
56	0.4901313514
57	0.4877511376
58	0.4857857729
59	0.4832303734
60	0.4811537778
61	0.47893499
62	0.4772452627
63	0.4755357633
64	0.4738328878
65	0.4723704289
66	0.4703570872
67	0.4685323426
68	0.4669997321
69	0.4653795586
70	0.4634790174
71	0.4623975143
72	0.4610702777
73	0.4593551818
74	0.4576273483
75	0.4559148691
76	0.4545208767
77	0.4530139296
78	0.4516271809
79	0.4501011154
80	0.4490838193
81	0.4478672923
82	0.4465046606
83	0.4454151898
84	0.4445164914
85	0.4435574592
86	0.4425561746
87	0.4413294874
88	0.4403522252
89	0.4393873219
90	0.4385730993
91	0.4375091077
92	0.436234909
93	0.4347433665
94	0.4340717571
95	0.4330337155
96	0.4319198399
97	0.4309942979
98	0.4300364521
99	0.4292643532
100	0.4278132162
101	0.4272961293
102	0.4262713257
103	0.4255902885
104	0.4242567519
105	0.4234141635
106	0.4220402448
107	0.421055212
108	0.4202061179
109	0.4191714365
110	0.4179229403
111	0.4171018908
112	0.4162416446
113	0.4154087349
114	0.4142349286
115	0.4128757048
116	0.4116925865
117	0.4106589489
118	0.4102357457
119	0.4093679751
120	0.4086833287
121	0.4081632122
122	0.4071448061
123	0.4066232905
124	0.4059420512
125	0.4051125586
126	0.4041906578
127	0.4035087319
128	0.4027956806
129	0.4017854504
130	0.4008909356
131	0.4002127618
132	0.3995250543
133	0.3986971429
134	0.3982585573
135	0.3975363961
136	0.3968394883
137	0.3959697735
138	0.3954310489
139	0.3947695295
140	0.3938049986
141	0.3932154055
142	0.3928036355
143	0.3920792626
144	0.3914353174
145	0.3908252269
146	0.3895662134
147	0.3887056088
148	0.3880566826
149	0.3870038119
150	0.3864732258
151	0.385487902
152	0.3847488685
153	0.3840520898
154	0.3835434642
155	0.3827345218
156	0.3822773337
157	0.3815306451
158	0.3808587309
159	0.3802487749
160	0.37953233
161	0.3791604563
162	0.3784444898
