iter	Passed	Remaining
0	25	25114
1	52	26156
2	87	29095
3	132	32899
4	163	32554
5	189	31364
6	217	30787
7	245	30407
8	271	29858
9	294	29133
10	320	28790
11	346	28558
12	372	28277
13	407	28701
14	442	29080
15	492	30296
16	535	30980
17	572	31212
18	605	31275
19	633	31043
20	657	30659
21	687	30570
22	726	30862
23	766	31177
24	796	31069
25	824	30870
26	861	31035
27	906	31485
28	969	32472
29	1007	32572
30	1041	32562
31	1073	32475
32	1102	32312
33	1130	32122
34	1160	31996
35	1188	31831
36	1217	31699
37	1245	31537
38	1271	31337
39	1308	31397
40	1346	31497
41	1386	31623
42	1421	31637
43	1451	31532
44	1478	31382
45	1511	31339
46	1546	31365
47	1583	31398
48	1620	31449
49	1658	31519
50	1693	31520
51	1728	31505
52	1754	31354
53	1777	31131
54	1799	30922
55	1822	30714
56	1844	30510
57	1867	30327
58	1891	30160
59	1915	30015
60	1938	29836
61	1962	29693
62	1988	29573
63	2015	29479
64	2044	29415
65	2069	29280
66	2095	29176
67	2117	29028
68	2141	28895
69	2165	28767
70	2190	28661
71	2216	28570
72	2241	28462
73	2267	28369
74	2291	28261
75	2318	28184
76	2357	28254
77	2390	28259
78	2423	28252
79	2450	28183
80	2479	28126
81	2506	28058
82	2531	27967
83	2559	27908
84	2597	27962
85	2636	28023
86	2676	28083
87	2713	28120
88	2747	28124
89	2774	28049
90	2796	27933
91	2819	27828
92	2845	27747
93	2868	27648
94	2891	27545
95	2915	27458
96	2944	27411
97	2975	27386
98	3011	27410
99	3051	27462
100	3092	27527
101	3145	27691
102	3199	27861
103	3238	27899
104	3279	27957
105	3325	28048
106	3373	28157
107	3407	28141
108	3436	28090
109	3470	28082
110	3512	28127
111	3553	28175
112	3591	28195
113	3631	28227
114	3670	28245
115	3710	28273
116	3747	28280
117	3775	28217
118	3804	28162
119	3835	28124
120	3869	28113
121	3903	28090
122	3937	28073
123	3976	28090
124	4006	28044
125	4032	27971
126	4057	27890
127	4087	27846
128	4120	27821
129	4151	27785
130	4180	27730
131	4210	27689
132	4253	27730
133	4287	27709
134	4326	27723
135	4367	27748
136	4410	27782
137	4452	27809
138	4495	27846
139	4540	27888
140	4580	27905
141	4618	27907
142	4658	27920
143	4691	27889
144	4720	27833
145	4744	27749
146	4768	27672
147	4793	27594
148	4817	27512
149	4843	27445
150	4867	27368
151	4890	27282
152	4912	27197
153	4939	27135
154	4964	27064
155	4992	27010
156	5022	26966
157	5050	26915
158	5078	26862
159	5108	26821
160	5133	26753
161	5157	26680
162	5182	26609
163	5206	26539
164	5229	26463
165	5253	26395
166	5282	26347
167	5310	26301
168	5337	26243
169	5365	26198
170	5393	26145
171	5421	26099
172	5450	26055
173	5478	26007
174	5508	25969
175	5538	25931
176	5561	25858
177	5586	25799
178	5615	25756
179	5645	25719
180	5670	25658
181	5694	25592
182	5717	25527
183	5741	25461
184	5766	25405
185	5793	25355
186	5816	25288
187	5838	25215
188	5861	25152
189	5884	25087
190	5906	25019
191	5929	24952
192	5954	24898
193	5977	24834
194	5999	24766
195	6020	24697
196	6047	24649
197	6074	24604
198	6100	24556
199	6127	24509
200	6157	24478
201	6186	24438
202	6216	24405
203	6247	24376
204	6278	24346
205	6305	24302
206	6328	24242
207	6352	24190
208	6379	24144
209	6411	24118
210	6441	24087
211	6478	24082
212	6521	24097
213	6559	24094
214	6592	24070
215	6616	24015
216	6646	23983
217	6694	24015
218	6737	24026
219	6781	24042
220	6821	24045
221	6865	24060
222	6908	24072
223	6953	24088
224	6997	24101
225	7030	24078
226	7057	24032
227	7097	24031
228	7131	24009
229	7160	23970
230	7188	23930
231	7222	23908
232	7258	23893
233	7293	23876
234	7338	23888
235	7374	23874
236	7415	23873
237	7443	23832
238	7469	23783
239	7497	23743
240	7527	23705
241	7554	23663
242	7581	23618
243	7622	23617
244	7655	23592
245	7685	23555
246	7714	23518
247	7745	23486
248	7781	23469
